"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Markquis Nowell","Tor","G","24.1","1","3.5","23","0","2","1","1","0","0","0","0","0.532","2","2","2","1","0","0","4","4","6","22.9","0","0"
"","Javon Freeman-Liberty","Tor","G","20","1","2.4","53.5","0","0","0","3","0.333","0","0","0.333","0.333","2","1","0","0","0","0","3","2","3","0","0","0"
"","Terquavion Smith","Phi","G","21.1","4","3.8","30.4","9.6","2","1","3","0","6","0.333","0.333","0.405","2","0","1.3","0.8","0","0.3","2","3.3","3.3","0","0","0"
"","Taze Moore","Por","G","25.6","1","4.1","20.6","0","0","0","1","1","1","0","0.5","0.5","2","0","0","1","0","0","2","2","2","0","101.9","86.5"
"","Damian Jones","Cle","C","28.6","19","5.9","12.5","16.5","6","0.833","19","0.632","6","0.333","0.6","0.633","1.8","0.9","0.3","0.2","0.2","0.3","2.8","2.2","3.1","5.3","117.5","105.5"
"","Furkan Korkmaz","Phi","G-F","26.5","28","7.1","13.3","14","11","0.636","26","0.462","23","0.261","0.429","0.455","1.8","0.6","0.5","0.4","0","0.3","2.3","2.3","2.9","4.6","93.7","111"
"","Ibou Badji","Por","C","21.3","12","13.6","6.9","37.2","6","0.5","15","0.6","0","0","0.6","0.595","1.8","3.7","0.7","0.2","1.4","0.8","5.4","2.4","6.1","4.9","107.9","100.4"
"","Jett Howard","Orl","G","20.4","11","3.8","23.4","9.4","4","0.5","5","0.6","14","0.286","0.474","0.482","1.8","0.5","0.3","0","0.1","0.2","2.3","2.1","2.5","6.8","0","0"
"","Emoni Bates","Cle","F","20","10","7.6","15.3","3.8","2","0.5","5","0.2","20","0.25","0.34","0.348","1.8","1","0.6","0.1","0.2","0.1","2.8","2.4","3.4","5.4","87","110.1"
"","Jordan Miller","Lac","G","24","4","4","16.2","16.7","0","0","4","0.5","1","1","0.7","0.7","1.8","0.8","0","0","0","0.3","2.5","1.8","2.5","0","121.7","109.1"
"","Leaky Black","Cha","F","24.6","13","5.2","11.4","12.3","4","0.5","9","0.667","5","0.6","0.75","0.73","1.8","0.9","0.4","0.2","0.3","0.2","2.7","2.2","3.1","6.7","137.4","119.3"
"","Luka Garza","Min","C","25.1","9","2.6","41.1","10.9","8","0.625","11","0.455","5","0","0.313","0.384","1.7","0.9","0.2","0","0","0.2","2.6","1.9","2.8","10.4","0","0"
"","Isaiah Mobley","Cle","F","24.3","3","4.7","15.2","20","0","0","2","0.5","2","0.5","0.625","0.625","1.7","0.7","1.3","0.3","0","0.3","2.3","3","3.7","9.8","127.1","97.4"
"","Terry Taylor","Chi","F","24.3","16","6.8","11.9","23.8","1","1","17","0.765","5","0","0.591","0.602","1.7","1.3","0.3","0.2","0.1","0.4","2.9","1.9","3.2","5.1","108.7","108.2"
