"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Julius Randle","Nyk","F","29.2","45","35.5","29.4","15.9","298","0.779","582","0.543","240","0.304","0.518","0.568","24.1","9.2","5","0.6","0.3","3.4","33.3","29.1","38.3","11.7","113.7","106.6"
"","Lauri Markkanen","Uta","F","26.7","36","32.5","25.1","6.9","195","0.872","292","0.589","289","0.394","0.59","0.642","23.8","8.7","1.9","0.9","0.6","1.2","32.5","25.7","34.4","9","130.9","114.1"
"","Kawhi Leonard","Lac","F","32.6","38","34.7","25.7","8.6","165","0.879","452","0.555","192","0.443","0.588","0.629","23.7","6.2","3.8","1.7","0.8","1.6","29.9","27.5","33.7","9.5","127.2","112.5"
"","Tyrese Haliburton","Ind","G","23.9","34","33.4","26.2","12.8","138","0.862","288","0.59","285","0.4","0.595","0.632","23.6","4.1","12.6","1.1","0.6","2.5","27.7","36.1","40.3","12.8","133.9","122"
"","Paul George","Lac","G","33.7","40","34.7","27","10.7","146","0.911","371","0.512","339","0.419","0.568","0.606","23.5","5.6","3.6","1.6","0.4","2.1","29","27.1","32.7","9","119","108.4"
"","Terry Rozier","Cha","G","29.9","30","35.5","27.3","10.6","129","0.845","317","0.533","232","0.358","0.535","0.574","23.2","3.9","6.6","1.1","0.4","2.2","27.1","29.8","33.7","9.5","117.8","121"
"","Jaylen Brown","Bos","F","27.3","42","33.4","28.7","12.3","181","0.718","495","0.564","254","0.362","0.557","0.582","23","5.2","3.7","1.1","0.6","2.5","28.2","26.6","31.8","9.1","112.9","106.6"
"","Anfernee Simons","Por","G","24.6","22","33.2","28.7","12.1","96","0.896","212","0.472","187","0.39","0.525","0.572","23","3.5","4.8","0.5","0.1","2.5","26.5","27.8","31.3","8.8","114.2","117.8"
"","Cade Cunningham","Det","G","22.3","36","34.5","30.2","16.6","162","0.87","484","0.496","200","0.335","0.498","0.544","22.8","4.1","7.3","1","0.4","3.8","26.9","30.1","34.1","10.2","106.5","117.2"
"","Karl-Anthony Towns","Min","F","28.2","44","33.2","27.3","15.6","212","0.882","467","0.559","221","0.439","0.591","0.64","22.7","8.8","3","0.7","0.5","2.9","31.5","25.7","34.5","10.2","117.2","100"
"","Paolo Banchero","Orl","F","21.2","44","34.8","29.8","15.1","320","0.697","609","0.478","175","0.354","0.49","0.536","22.5","7","4.8","1","0.6","3.2","29.6","27.4","34.4","10.5","106.5","108.7"
"","Pascal Siakam","Tor","F","29.8","39","34.7","25.4","11.8","223","0.758","478","0.584","145","0.317","0.559","0.6","22.2","6.3","4.8","0.8","0.3","2.1","28.5","27","33.3","10.1","119.5","113.7"
"","DeMar DeRozan","Chi","F","34.5","44","37.2","24.8","8.2","294","0.847","607","0.491","125","0.344","0.495","0.565","22.1","4","5.4","1.1","0.6","1.5","26.1","27.5","31.5","8.4","121","114.7"
"","Alperen Sengun","Hou","C","21.5","43","32.8","28","14","242","0.723","608","0.577","87","0.287","0.559","0.594","22.1","9.2","5.1","1.2","0.7","2.6","31.3","27.2","36.4","12.3","118.7","103.9"
"","Zion Williamson","Nor","F","23.6","36","30.3","28.6","14.6","240","0.654","521","0.593","10","0.4","0.593","0.618","21.9","5.6","4.8","0.9","0.4","2.5","27.5","26.6","32.3","11.1","120.3","108.5"
"","Kyle Kuzma","Was","F","28.5","44","31.4","30.6","12.9","140","0.793","523","0.524","296","0.338","0.518","0.545","21.8","6.5","4.4","0.4","0.6","2.8","28.3","26.2","32.8","10.9","103.9","118.1"
"","Tyler Herro","Mia","G","24","26","34","28.7","11.7","66","0.848","269","0.468","213","0.404","0.529","0.554","21.8","5.5","4.2","1.1","0.1","2.5","27.2","25.9","31.4","9.4","106","112.2"
"","Mikal Bridges","Bro","F","27.4","44","34.9","26.1","12.1","222","0.833","464","0.511","275","0.36","0.522","0.571","21.7","5.1","3.8","0.9","0.5","2.3","26.9","25.5","30.6","8.6","113.4","116.6"
"","Jerami Grant","Por","F","29.9","39","34","25.6","10.9","213","0.798","423","0.485","211","0.412","0.529","0.578","21.6","3.6","2.6","0.7","0.8","2","25.2","24.1","27.8","6.9","113.9","117"
"","Jaren Jackson Jr.","Mem","F","24.4","42","31.6","28.7","11.2","255","0.831","460","0.513","229","0.328","0.506","0.567","21.6","5.6","1.9","1","1.6","2.1","27.3","23.6","29.2","7.8","109.9","105.5"
"","Brandon Ingram","Nor","F","26.4","40","33.1","27.1","12.8","204","0.814","495","0.529","156","0.353","0.529","0.577","21.4","4.8","5.7","0.8","0.4","2.4","26.2","27.1","31.9","10.1","116.4","110.7"
"","Dejounte Murray","Atl","G","27.3","44","34.8","24.9","11.3","139","0.835","500","0.512","271","0.387","0.536","0.567","21.4","5","5","1.3","0.3","2.2","26.5","26.5","31.5","9.3","115.5","118.4"
"","Bam Adebayo","Mia","C","26.5","35","35","26.8","13.6","254","0.78","535","0.508","11","0.091","0.501","0.566","21.3","10.5","4.3","1.1","1","2.5","31.8","25.6","36.1","11.3","114.5","106.9"
"","Jamal Murray","Den","G","26.9","32","31.3","27.7","10.6","105","0.876","347","0.51","183","0.404","0.543","0.58","20.9","3.9","6.5","0.8","0.6","2","24.8","27.4","31.3","10.3","119.7","113"
"","RJ Barrett","Tor","F","23.6","12","33.4","23.4","10.4","62","0.661","124","0.629","48","0.375","0.61","0.63","20.9","7.2","3.4","0.6","0.4","1.7","28.1","24.3","31.5","9.6","121","109.8"
"","Miles Bridges","Cha","F","25.9","31","37","24.3","10.5","97","0.866","335","0.516","203","0.355","0.522","0.556","20.8","7.1","2.9","1.1","0.5","2","28","23.7","30.9","8.1","108.5","118.3"
"","Jimmy Butler","Mia","F","34.4","30","33.5","24.5","11.9","236","0.881","337","0.499","63","0.413","0.518","0.617","20.7","4.9","4.4","1.2","0.3","1.8","25.7","25.1","30","9.1","127","114.8"
"","Darius Garland","Cle","G","24","20","34","27.8","19.1","91","0.835","217","0.53","104","0.346","0.526","0.573","20.7","2.8","5.9","1.6","0.2","3.8","23.5","26.6","29.4","8.2","107.9","111.9"
"","Franz Wagner","Orl","F","22.4","36","33","26.2","10.1","170","0.859","412","0.541","172","0.297","0.513","0.565","20.7","5.7","3.9","1.1","0.3","1.8","26.4","24.6","30.2","9.4","115.7","108.2"
"","Cam Thomas","Bro","G","22.3","35","28.4","31.1","9","157","0.822","407","0.484","189","0.344","0.494","0.54","20.5","2.6","2.4","0.6","0.3","1.7","23.1","22.9","25.5","7.1","107.7","116"
"","Victor Wembanyama","San","F","20.1","38","28.5","31.7","16.4","184","0.804","428","0.54","187","0.294","0.51","0.557","20.4","10.1","2.9","1.1","3.2","3.2","30.4","23.3","33.4","11.8","103.5","110.1"
"","Bojan Bogdanovic","Det","F","34.8","23","33.1","24.4","12.4","83","0.747","186","0.516","168","0.417","0.568","0.594","20.2","3.6","2.7","0.9","0.1","2.2","23.7","22.8","26.4","7","110.9","118.9"
"","Scottie Barnes","Tor","F-G","22.5","44","35.2","24.6","14.5","178","0.753","454","0.54","240","0.367","0.543","0.575","20.2","8.4","5.8","1.3","1.6","2.7","28.6","25.9","34.4","11.3","115.1","112.5"
"","Domantas Sabonis","Sac","C","27.7","43","35.3","22.4","20","220","0.677","513","0.63","49","0.429","0.631","0.651","20","12.7","8","0.8","0.6","3.3","32.7","28","40.7","14.4","127.7","107.4"
"","CJ McCollum","Nor","G","32.4","30","32","23.7","9.1","79","0.785","209","0.502","241","0.448","0.593","0.615","19.9","4.3","5","1.2","0.8","1.5","24.2","24.8","29.2","9.4","124.5","110.4"
"","Zach LaVine","Chi","G","28.9","25","34.9","23.8","12.1","103","0.854","207","0.536","169","0.349","0.531","0.578","19.5","5.1","3.9","0.8","0.3","2.1","24.6","23.4","28.5","8.4","113.4","112.9"
"","Kristaps Porzingis","Bos","C","28.5","33","29.7","23.6","11.4","188","0.84","236","0.648","167","0.359","0.603","0.663","19.5","6.7","2","0.7","1.8","1.6","26.2","21.5","28.2","8.6","129.6","103.8"
"","Pascal Siakam","Ind","F","29.8","4","31.8","23.8","10.9","20","0.65","49","0.571","8","0.375","0.57","0.593","19.5","8.3","6","0.3","0","1.8","27.8","25.5","33.8","12.5","123.6","111.4"
"","Coby White","Chi","G","23.9","46","35.7","22.3","12.7","145","0.821","349","0.516","325","0.4","0.556","0.589","18.9","4.7","5","0.7","0.3","2.1","23.5","23.8","28.5","8.5","116.5","113.8"
"","Jalen Williams","Okc","F","22.8","41","32","22.5","11.7","138","0.826","423","0.572","126","0.444","0.594","0.628","18.7","4.1","4.5","1.1","0.5","1.8","22.8","23.1","27.3","8.8","122.6","109.6"
"","RJ Barrett","Nyk","F","23.6","26","29.5","27.1","10.8","124","0.831","258","0.469","130","0.331","0.478","0.536","18.2","4.3","2.4","0.5","0.3","1.8","22.5","20.7","24.9","7.8","109.9","110.9"
"","Bradley Beal","Pho","G","30.6","20","32.5","23.2","13.1","59","0.763","200","0.56","79","0.392","0.568","0.594","18.1","4.3","4.2","0.8","0.4","2.1","22.4","22.3","26.5","8.5","115.6","111.7"
"","Tim Hardaway Jr.","Dal","G-F","31.9","41","29.8","24.1","6.1","116","0.871","238","0.504","365","0.367","0.532","0.568","18.1","3.6","1.7","0.5","0","1","21.8","19.8","23.4","6.4","113.9","117"
"","Jordan Clarkson","Uta","G","31.6","36","30.1","27.5","15.8","137","0.891","352","0.483","202","0.312","0.477","0.53","18.1","3.7","5.1","0.6","0.1","2.9","21.8","23.2","26.8","9.3","107","119"
"","Devin Vassell","San","G","23.4","39","31.1","22.6","8.3","113","0.814","292","0.555","262","0.363","0.55","0.581","18","3.5","3.6","1.2","0.2","1.3","21.5","21.5","25.1","7.8","114.9","120.5"
"","Tobias Harris","Phi","F","31.5","41","34.1","20.1","10.2","143","0.902","394","0.563","142","0.359","0.557","0.606","17.7","6","3.2","1","0.5","1.5","23.7","20.9","26.9","8.2","122","111.3"
"","Myles Turner","Ind","C","27.8","44","27.7","23","10.8","192","0.802","345","0.623","181","0.343","0.586","0.631","17.5","7.1","1.3","0.5","1.9","1.5","24.6","18.8","25.9","7.9","121.5","111.3"
"","Klay Thompson","Gol","F","34","41","30.5","23.3","10.4","89","0.91","233","0.476","353","0.388","0.54","0.571","17.4","3.4","2.3","0.5","0.5","1.7","20.8","19.8","23.2","6.7","112.5","117.2"
"","Collin Sexton","Uta","G","25.1","46","24","27.5","12.8","210","0.886","379","0.541","179","0.38","0.55","0.615","17.4","2.6","4.1","0.7","0.2","1.8","20","21.5","24.2","9.5","124.3","114.1"
"","Jalen Green","Hou","G","22","43","30.5","26.8","12.9","190","0.795","357","0.465","276","0.319","0.471","0.521","17.4","4.5","3.2","0.6","0.3","2.2","21.8","20.6","25","8.3","102.7","113.5"
"","James Harden","Lac","G","34.4","37","34.3","20.5","19","181","0.873","176","0.5","241","0.423","0.578","0.644","17.3","4.5","8.5","1.2","0.9","2.6","21.8","25.8","30.3","10.2","129.2","112"
"","Fred VanVleet","Hou","G","29.9","41","37.2","19.8","10.2","128","0.867","251","0.442","327","0.382","0.516","0.558","17.3","3.8","8.5","1.1","0.9","1.6","21.1","25.8","29.6","8.9","122.7","112.4"
"","Marvin Bagley III","Was","F","24.9","5","26.9","24.2","10.9","30","0.567","54","0.611","3","0.333","0.605","0.613","17.2","9.6","1.2","0.8","0.6","1.4","26.8","18.4","28","8.7","124.1","111.6"
"","Chet Holmgren","Okc","C","21.7","44","30.2","21.6","12.7","149","0.779","341","0.625","182","0.385","0.608","0.639","17.1","7.3","2.8","0.6","2.6","1.7","24.4","19.9","27.2","9.3","122.7","106.5"
"","Nikola Vucevic","Chi","C","33.3","41","33.8","22.8","9.5","59","0.864","466","0.547","165","0.273","0.511","0.53","17","10.6","3.5","0.7","0.7","1.6","27.6","20.5","31.1","10.1","112.1","108.8"
"","D'Angelo Russell","Lal","G","27.9","42","30.1","22.9","13.1","90","0.778","301","0.532","251","0.422","0.578","0.598","16.9","2.7","6.2","0.8","0.5","2","19.5","23","25.7","8.7","117.2","112.9"
"","Bogdan Bogdanovic","Atl","G","31.4","42","28.3","23.1","7.4","84","0.905","232","0.522","354","0.364","0.537","0.566","16.8","3.1","2.6","1.3","0.2","1.1","19.9","19.4","22.5","7.3","117.1","115.2"
"","Keldon Johnson","San","F","24.3","42","30.7","22.8","11.1","155","0.781","339","0.519","224","0.339","0.515","0.555","16.7","5.7","3.4","0.8","0.2","1.7","22.4","20","25.7","8.9","110.7","115.1"
"","Immanuel Quickley","Tor","G","24.6","12","31.8","22.1","9.4","40","0.85","91","0.385","72","0.444","0.509","0.554","16.7","4.6","6.1","0.8","0.2","1.4","21.3","22.8","27.3","9.8","118.6","114.1"
"","Jordan Poole","Was","G","24.6","43","29.1","26","13.3","137","0.869","347","0.49","271","0.31","0.479","0.524","16.5","2.3","3.4","1","0.3","2.2","18.8","20","22.2","6.9","100.2","116"
"","Evan Mobley","Cle","C","22.6","21","33.6","19.9","16.2","65","0.769","238","0.588","10","0.2","0.577","0.607","16","10.5","2.9","0.8","1.7","2.3","26.5","18.9","29.4","9.4","116.6","103.8"
"","Keegan Murray","Sac","F","23.4","39","32.9","18.9","6.1","69","0.797","254","0.567","256","0.367","0.559","0.578","16","5.6","1.6","1.2","0.6","0.8","21.6","17.6","23.2","6.4","117.3","111.8"
"","Derrick White","Bos","G","29.6","41","32.1","19.5","12.4","106","0.896","208","0.548","274","0.401","0.579","0.618","15.9","4.1","4.8","1","1.2","1.7","20.1","20.7","24.9","8.5","125.6","108.4"
"","Michael Porter Jr.","Den","F","25.6","46","31.1","19.9","7.8","61","0.77","273","0.571","309","0.401","0.588","0.6","15.9","7","1.3","0.5","0.8","1.1","22.9","17.2","24.2","6.8","117","111.4"
"","Shaedon Sharpe","Por","G","20.7","32","33.1","22.3","14.2","119","0.824","254","0.457","180","0.333","0.475","0.524","15.9","5","2.9","0.9","0.4","2.3","20.9","18.9","23.9","7.4","104.8","113.8"
"","Caris LeVert","Cle","G","29.4","32","28.8","24.7","10.4","105","0.743","251","0.478","180","0.344","0.494","0.528","15.8","3.6","4.1","1","0.4","1.6","19.3","19.9","23.4","8.5","110.5","110.1"
"","Malcolm Brogdon","Por","G","31.1","35","28","23.4","10.5","103","0.816","264","0.447","180","0.422","0.523","0.56","15.7","3.5","5.3","0.7","0.2","1.5","19.2","21","24.5","9.5","119.6","117.9"
"","OG Anunoby","Nyk","F","26.5","13","35.9","16","11.2","35","0.886","84","0.595","59","0.39","0.591","0.631","15.4","4.9","1.3","1.8","1.2","1.4","20.3","16.7","21.6","5.1","122.6","108.1"
"","OG Anunoby","Tor","F","26.5","27","33.3","18.3","11.8","46","0.717","158","0.608","163","0.374","0.584","0.598","15.1","4","2.7","1","0.5","1.6","19.1","17.8","21.7","6.6","113.1","114.2"
"","Jalen Johnson","Atl","F","22.1","30","32.5","18.1","15.5","79","0.734","237","0.612","96","0.365","0.593","0.616","15.1","8.2","3.1","1.3","0.8","2","23.3","18.2","26.4","8.9","116.8","113"
"","Brandon Miller","Cha","F","21.2","36","30.7","21.7","11.1","75","0.813","262","0.473","201","0.388","0.521","0.547","15.1","4","2.3","0.7","0.5","1.6","19.1","17.3","21.4","6.7","107","117.1"
"","Immanuel Quickley","Nyk","G","24.6","30","24","24","8.5","94","0.872","173","0.509","162","0.395","0.549","0.598","15","2.6","2.5","0.5","0.1","1","17.6","17.5","20","7.7","123.6","110.8"
"","Austin Reaves","Lal","G","25.7","46","30.2","20.3","16.5","154","0.877","286","0.594","206","0.35","0.565","0.617","15","4.1","5.2","0.9","0.1","2.1","19.1","20.2","24.3","9.1","118.9","112.6"
"","Khris Middleton","Mil","F","32.5","38","25.9","23.9","15","89","0.831","269","0.561","171","0.374","0.561","0.593","14.9","4.2","4.9","0.9","0.3","2.1","19.2","19.9","24.1","10.4","117","110.8"
"","Jarrett Allen","Cle","C","25.8","37","30.3","18","15.8","128","0.75","344","0.663","1","0","0.661","0.688","14.9","10.3","3","0.9","1.1","1.8","25.2","17.9","28.2","10.2","133.5","104.5"
"","De'Andre Hunter","Atl","F","26.1","24","30.3","18.9","12.2","75","0.907","151","0.503","114","0.404","0.547","0.601","14.9","4.1","1.4","0.8","0.4","1.5","19","16.3","20.4","5.8","115.3","113.8"
"","Malik Monk","Sac","G","26","42","25.9","24.4","15.4","118","0.822","221","0.493","263","0.388","0.541","0.579","14.8","2.6","5.5","0.6","0.7","2.1","17.4","20.2","22.8","9.2","115.9","113.7"
"","Gordon Hayward","Cha","F","33.8","25","31.9","20.8","14.6","81","0.765","236","0.496","61","0.361","0.505","0.544","14.5","4.7","4.6","1.1","0.5","2","19.2","19.1","23.8","8.5","110.1","119"
"","Marcus Smart","Mem","G","29.9","20","30.2","23","20.7","56","0.768","103","0.583","134","0.313","0.519","0.552","14.5","2.7","4.3","2.1","0.3","3.1","17.1","18.8","21.4","7.3","99.8","107.8"
"","Jonathan Kuminga","Gol","F","21.3","41","23.4","23.8","12.4","157","0.713","311","0.605","105","0.314","0.571","0.605","14.3","4.4","1.6","0.6","0.4","1.4","18.7","15.9","20.2","8","116.8","112.1"
"","Jaden Ivey","Det","G","21.9","40","26.5","24.1","17.2","164","0.732","282","0.528","161","0.317","0.509","0.554","14.3","3.7","3.7","0.8","0.6","2.3","18","18","21.7","8.8","108.1","114.9"
"","Bennedict Mathurin","Ind","F","21.6","45","25.5","23","12.7","160","0.831","337","0.499","157","0.357","0.51","0.564","14.2","3.8","2","0.5","0.2","1.6","17.9","16.2","19.9","7.5","110.4","117.8"
"","Jonas Valanciunas","Nor","C","31.7","44","26.5","20","13","133","0.805","341","0.616","81","0.358","0.601","0.639","14","9.6","2.3","0.5","1.1","1.4","23.6","16.3","25.9","10.2","127.2","101.4"
"","John Collins","Uta","F","26.3","42","27.6","19.7","12","100","0.8","297","0.586","151","0.351","0.566","0.597","14","7.8","1","0.6","0.8","1.5","21.8","15","22.8","6.9","115.4","109.4"
"","Jalen Duren","Det","C","20.2","29","29.7","18.1","17.2","65","0.692","281","0.641","2","0","0.636","0.65","14","11.3","2.5","0.4","0.9","2","25.3","16.4","27.8","9.9","120.7","110.2"
"","Jaime Jaquez Jr.","Mia","G","22.9","39","30.2","19.6","13.9","98","0.837","297","0.576","116","0.353","0.563","0.6","14","3.9","2.7","1.1","0.3","1.7","17.9","16.7","20.6","7","114.8","109.5"
"","Dennis Schroder","Tor","G","30.4","44","31","19.1","12.1","120","0.858","296","0.51","192","0.359","0.522","0.566","13.9","2.6","6.3","0.8","0.1","1.5","16.5","20.2","22.8","7.9","120.3","115.2"
"","Cameron Johnson","Bro","F","27.9","36","28.3","19.4","7.1","56","0.714","186","0.516","221","0.398","0.56","0.575","13.8","4.6","2.6","0.7","0.2","0.9","18.4","16.4","21","7.8","119.9","114.3"
"","Dillon Brooks","Hou","F","28","34","31.5","18.3","12.3","72","0.833","205","0.517","164","0.396","0.551","0.583","13.7","3.5","1.6","1","0.1","1.5","17.3","15.3","18.9","5.4","109.7","105.9"
"","Grayson Allen","Pho","G","28.3","39","33.4","14.7","13.7","72","0.903","132","0.538","221","0.493","0.664","0.694","13.7","4.2","3","0.9","0.6","1.4","17.8","16.7","20.8","6.7","130.1","113.6"
"","Jabari Smith Jr.","Hou","F","20.7","40","31.7","17.6","10.4","94","0.809","246","0.541","178","0.382","0.554","0.587","13.7","8.7","1.5","0.6","0.8","1.2","22.4","15.1","23.8","7.1","116.9","105.6"
"","Aaron Gordon","Den","F","28.4","40","32","17.4","11.7","142","0.627","327","0.599","72","0.278","0.566","0.586","13.5","6.6","3.1","0.8","0.6","1.3","20.1","16.6","23.2","8.1","122","113.5"
"","Norman Powell","Lac","G","30.7","42","25.5","19.3","8.5","96","0.875","206","0.544","190","0.453","0.609","0.646","13.5","2.5","1","0.5","0.4","0.9","15.9","14.5","16.9","5.1","123.6","112.9"
"","Duncan Robinson","Mia","F","29.8","43","28.1","19.3","11.8","64","0.875","146","0.555","295","0.403","0.588","0.613","13.4","2.5","2.9","0.6","0.2","1.4","15.9","16.3","18.8","6.5","116.1","110.8"
"","Jrue Holiday","Bos","G","33.6","41","33.7","17.1","14.8","56","0.821","247","0.494","200","0.425","0.558","0.578","13.3","6.2","4.6","0.8","0.8","1.9","19.5","17.9","24.1","8.6","118.1","110.1"
"","Rudy Gobert","Min","C","31.6","44","33","15.7","16.4","225","0.636","349","0.63","2","0","0.627","0.648","13.3","12.5","1.2","0.6","2.1","1.6","25.8","14.5","27","7.1","126","100"
"","Spencer Dinwiddie","Bro","G","30.8","42","30.5","19","11.8","146","0.788","195","0.482","253","0.332","0.491","0.542","13.2","3.5","6","0.8","0.2","1.4","16.7","19.2","22.6","8.6","119.6","116.2"
"","Trey Murphy III","Nor","F","23.6","20","25.6","19.6","5.2","48","0.792","61","0.574","140","0.371","0.562","0.594","13.2","3.7","2","0.8","0.4","0.6","16.9","15.2","18.9","7.2","123.7","112.7"
"","Cole Anthony","Orl","G","23.7","43","24.2","24.1","15.4","152","0.836","285","0.488","154","0.331","0.491","0.552","13","4.1","3.2","0.8","0.5","1.9","17.1","16.2","20.3","9.2","110.5","104.4"
"","Max Strus","Cle","F","27.8","42","33.1","17.8","12.4","53","0.811","164","0.537","317","0.338","0.517","0.535","12.9","4.9","3.8","0.9","0.5","1.6","17.7","16.6","21.5","7.5","109.7","107.2"
"","Jalen Suggs","Orl","G","22.6","40","26.7","20.9","16.4","88","0.773","195","0.523","207","0.391","0.556","0.584","12.9","3.4","2.4","1.3","0.7","2","16.2","15.3","18.6","7.1","108.3","104.2"
"","Brook Lopez","Mil","C","35.8","44","31.6","15.6","8.4","81","0.815","225","0.64","212","0.33","0.57","0.597","12.8","5.5","1.7","0.6","2.8","0.9","18.3","14.5","20","6.2","121.9","112.3"
"","Alec Burks","Det","G","32.5","37","20.5","24.1","6.5","114","0.895","139","0.374","219","0.402","0.514","0.576","12.7","2.3","1.5","0.4","0.2","0.7","15","14.2","16.5","6.9","118.8","118.6"
"","Buddy Hield","Ind","G","31.1","45","26.1","19","11.1","33","0.848","141","0.574","324","0.392","0.584","0.595","12.7","3.2","2.6","0.8","0.6","1.3","15.9","15.3","18.6","7.2","114.6","117.4"
"","Deandre Ayton","Por","C","25.5","28","31.4","18.1","15.6","40","0.775","303","0.535","0","0","0.535","0.554","12.7","10.5","1.6","1","0.7","2","23.2","14.3","24.8","7.6","107.6","110.6"
"","Saddiq Bey","Atl","F","24.8","44","32.3","16.1","8.1","120","0.825","216","0.523","247","0.316","0.497","0.542","12.7","6.4","1.4","1","0.1","0.9","19.1","14.1","20.5","6","117.4","119"
"","Mark Williams","Cha","C","22.1","19","26.8","16.7","10.1","64","0.719","151","0.649","0","0","0.649","0.675","12.7","9.7","1.2","0.8","1.1","0.9","22.4","13.9","23.6","7.9","137.5","111.7"
"","P.J. Washington","Cha","F","25.4","36","28.5","20","11.7","67","0.746","196","0.536","196","0.332","0.517","0.54","12.6","5.3","2.3","0.9","0.7","1.4","17.9","14.9","20.2","7.5","107.5","114.1"
"","Eric Gordon","Pho","G","35.1","36","30.4","17.3","10.7","36","0.778","138","0.558","237","0.376","0.561","0.574","12.5","2.2","2.3","0.9","0.5","1.3","14.6","14.8","16.9","5.2","111.7","116.8"
"","Kelly Oubre Jr.","Phi","F-G","28.1","31","27","18.6","8","70","0.7","172","0.552","137","0.358","0.545","0.568","12.5","4.1","1","1.2","0.5","0.9","16.6","13.5","17.6","5.5","113.3","105.8"
"","Zach Collins","San","C","26.2","35","25.6","21.6","18.7","89","0.764","223","0.583","120","0.3","0.536","0.57","12.5","5.7","3.3","0.6","0.7","2.3","18.2","15.7","21.5","9.6","107.8","109.8"
"","Nic Claxton","Bro","C","24.8","34","29.6","15.6","11.6","94","0.574","286","0.643","2","0.5","0.644","0.645","12.5","10.3","1.8","0.7","2.2","1.1","22.8","14.3","24.6","8.3","128.8","108.5"
"","Naz Reid","Min","C-F","24.4","45","22.4","22.3","11.8","65","0.8","213","0.582","213","0.408","0.597","0.617","12.5","4.6","1.1","0.8","0.7","1.3","17","13.5","18.1","7.1","113.7","102.3"
"","Deni Avdija","Was","F","23.1","44","27.5","18.9","16.1","127","0.772","289","0.554","118","0.373","0.555","0.594","12.5","6.2","4","0.9","0.4","1.8","18.7","16.5","22.6","9.8","114.9","114.1"
"","Tyus Jones","Was","G","27.7","44","28.5","16.8","7.4","30","0.733","285","0.554","165","0.418","0.581","0.588","12.4","2.9","6.2","1.2","0.3","0.8","15.3","18.6","21.5","8.5","126.3","123.4"
"","Ivica Zubac","Lac","C","26.9","38","27.1","16.8","12.3","105","0.648","307","0.655","0","0","0.655","0.665","12.4","9.7","1.3","0.2","1.4","1.1","22.1","13.6","23.4","8","132.8","105"
"","Scoot Henderson","Por","G","20","35","27.2","26","20.6","105","0.762","287","0.401","141","0.291","0.412","0.457","12.4","3","4.7","0.6","0.2","3.2","15.4","17.1","20.1","8.2","91.9","111.6"
"","Bobby Portis","Mil","F","29","44","23.4","20.8","8.5","74","0.784","309","0.56","124","0.363","0.555","0.579","12.3","6.7","1","0.7","0.5","0.9","18.9","13.2","19.9","7.4","116.2","107.4"
"","Bruce Brown","Ind","G","27.4","33","29.7","16.5","11.5","82","0.817","213","0.545","101","0.327","0.527","0.568","12.1","4.7","3","1.1","0.2","1.2","16.7","15.1","19.8","7.5","115.5","115.7"
"","Andrew Wiggins","Gol","F","28.9","38","26.5","21.2","11.4","100","0.7","288","0.483","122","0.295","0.471","0.502","12","4.2","1.5","0.3","0.4","1.4","16.2","13.5","17.7","6.4","104.2","114.9"
"","Lonnie Walker IV","Bro","G-F","25.1","26","18.3","25.2","11.7","38","0.763","108","0.519","126","0.452","0.605","0.622","12","2.2","1.3","0.6","0.3","1.2","14.2","13.3","15.5","7.1","114","114.8"
"","Keon Johnson","Bro","G","21.9","1","20.9","22","10.6","4","1","4","0.25","4","0.5","0.5","0.615","12","1","1","1","1","1","13","13","14","4.4","121.4","117.2"
"","Jusuf Nurkic","Pho","C","29.4","42","27.6","19.7","18.5","138","0.717","301","0.555","78","0.269","0.524","0.564","11.8","10.5","3.5","0.9","1","2","22.3","15.4","25.8","11","115.3","101.4"
"","De'Anthony Melton","Phi","G","25.7","33","29.1","17.7","10.4","75","0.827","135","0.437","193","0.363","0.5","0.54","11.8","4","3.2","1.6","0.5","1.2","15.8","15","19","7.3","114.2","107.4"
"","Harrison Barnes","Sac","F","31.7","43","29.3","14.4","8","99","0.828","159","0.572","195","0.41","0.596","0.634","11.7","2.8","1.2","0.7","0.2","0.7","14.6","12.9","15.8","4.6","125.4","118"
"","Aaron Nesmith","Ind","G-F","24.3","40","25.8","15.9","9.5","63","0.698","151","0.57","182","0.462","0.637","0.649","11.7","3.6","1.1","1.1","0.7","0.9","15.3","12.8","16.4","5.6","122.6","111.6"
"","Josh Giddey","Okc","G","21.3","43","24.9","23.2","16.6","62","0.806","337","0.496","119","0.336","0.498","0.521","11.7","6.3","4.6","0.7","0.4","2.1","18","16.3","22.6","11.2","107.5","110.4"
"","Malik Beasley","Mil","G","27.2","42","29.4","13.6","7.2","16","0.75","104","0.529","259","0.471","0.656","0.659","11.6","4","1.4","0.7","0.1","0.7","15.6","13","17","5.5","126.9","113.8"
"","Gary Trent Jr.","Tor","G-F","25","39","25.8","18.5","6","43","0.651","175","0.434","216","0.417","0.54","0.549","11.5","2.1","1.6","0.8","0.1","0.6","13.7","13.1","15.2","5.2","109.7","117.2"
"","Donte DiVincenzo","Nyk","G","27","45","22.3","19.5","11.4","54","0.722","105","0.562","283","0.42","0.612","0.624","11.4","3.2","2.2","1.1","0.3","1.1","14.6","13.6","16.8","7.7","123.6","106.3"
